nickname,review,star,product_name,price,discount_pct,review_count,view_count,sales_count
귀여운잠실롱부츠,사이즈 맞고 가벼워서 좋아요. 밑부분 구겨진건 스팀다리미만으로는 안펴지는,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
diqdiq2,배송도 빠르고 상품도 마음에 들어요 화면이랑 같습니당,4.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
매력적인청색캡,마음에들어요 하나정도는 가지고있어두될듯합니다,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
ED Mun,디자인이 이쁘고 범용성이 좋아서 자주 입을거 같아요.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
식소다,"블레이저는 처음 사봤는데 깔끔하고 예쁩니다
잘 입고 다닐거 같아요",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
콩G팥G,"배송 빠르고 사이즈 잘맞고 포장박스테이프가 다 뜯겨와서 제품 걱정이 좀 되었으나 이상없이 잘왔습니다.
옷 이쁘고 좋습니다. XL 사이즈 있었으면 좀더 슬림하게 예쁜핏 만들수있었을거같고 2XL로 오버하게 코디해도 이쁘네요!!",5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
단호한그레이점퍼,기장이나 품은 편하게 잘 맞았지만 어깨가 살짝 딱 맞는 느낌이 있네요. 한사이즈 크게 사면 오버핏으로도 활용가능할 것 같습니다.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
구름뒤의달,그냥저냥 가격만큼의 제품입니다 딱 그 정도입니다,3.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
qwalla,딱 정핏으로 맞아요. 팔만더 짧으면 좋을듯 합니다.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
qwalla,좋아요. 팔이 좀만 더 짧으면 좋겠네요 나머지는 굿굿,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
성숙한발리룩북,정사이즈로 딱 맞습니다. 정보에 나온 이미지와 같아서 맘에 듭니다.,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
옷잘입고싶땨,좋아유 생각했던 핏 나오고 원단도 좋고 대체적으로 좋습네당,5.0,릴렉스드 베이식 블레이저 [블랙],73690,10,47418,80000,160000
